,Name,Latitude,Longitude,rating,address,photoreference
44,PUSKESMAS SEBERANG PADANG UTARA 1,-0.9543952000000001,100.3725211,0.0,"Jl. Seberang Padang Utara I, Seberang Padang, Kec. Padang Sel., Kota Padang, Sumatera Barat 25214, Indonesia",ATtYBwIdVwtG9P2I2sG3Of7jhQkPt4bxq0KyJk5dIJfdQMKC0RfqdEWI0cBnLaBUgOpSZ6yywYgxbeZSWc4-fM9WkKxxWbxqnn8ECCXDDK5mXIqz27H9gL6S_dq1jiqTYzqPeAVbOarSulZ-gXf5k9LhZVrZk7ylKf2IlHV7Hr_4ZgGb5DAj
45,Puskesmas Air Tawar Timur,-0.8943721,100.3552838,3.3,"Jl. Pinang Sori I No.18, Air Tawar Tim., Kec. Padang Utara, Kota Padang, Sumatera Barat 25173, Indonesia",ATtYBwI8AJtuTo6P9yBYpeX8AmrcBW7gCuiLeYuft8xsJe-PKV234QUtB1K9cJpEXDgOFBVFGIogFl4XNl7-hsgrvL2uqJRVEnf0zIehy5hzW_flfAyNS0AGIZGXVCnXARDTOWC_plM9yrmA-6GCKw-6x3cFFGRZ5bSqLgHhTOoOcJ8Fmdue
46,Puskesmas Inpres Ulak Karang,-0.9482854,100.353148,0.0,"Jl. Ujung Pandan No.48, Olo, Kec. Padang Bar., Kota Padang, Sumatera Barat, Indonesia",NULL
47,Puskesmas Pembantu Jati,-0.9350473,100.372168,5.0,"Jl. Jati Adabiah, Jati, Kec. Padang Tim., Kota Padang, Sumatera Barat 25171, Indonesia",NULL
48,Padang City Health Department,-0.8748998,100.3871745,3.9,"Jl. Bagindo Aziz Chan, By Pass Air Pacah, Aie Pacah, Kec. Koto Tangah, Kota Padang, Sumatera Barat 25586, Indonesia",ATtYBwLdsrccUUZcZ8S6MTxpsUkXobH-p8nMCzrdzenFmPzl5dHbuAH90VNQCMnzOrUcEFtvHC9HiC_mQzqXtGScCrbrn7Nj7QQbRVZ40q34dxtfvmOEhdXPja92PjtRdaTQ0kc8SKjlWb5iWEfiIeFszlsluSzYOrqAU9ipEMAkTgkmOA1d
49,Puskesmas pembantu Lubuk Lintah,-0.9235414999999999,100.3868098,0.0,"Lubuk Lintah, Kuranji, Padang City, West Sumatra 25175, Indonesia",NULL
50,puskesmas tanjung aur padang,-0.9611259999999999,100.3816223,0.0,"Jl. Tj. Aur, Tj. Aua Nan XX, Kec. Lubuk Begalung, Kota Padang, Sumatera Barat 25143, Indonesia",NULL
51,puskesmas dadok,-0.8721576999999999,100.3615666,0.0,"Bungo Pasang, Koto Tangah, Padang City, West Sumatra 25586, Indonesia",ATtYBwJ770oS9xKsTzsRyAZP2-FlapUWy4BVNP2-ZPjG9imuEZ8jWyakFOWzJvvaBmcg7HURgnxu7z3pqe72RexxC791vVrwDdNAyuu854_whWSNKzrIphDtE6oFsE4-Fe40-RbAY4B2JjNEV0vKMix4gV7RBL_Gw5iMtfGe5XtmxRIb6miL
52,Puskesmas,-0.9474351,100.4620716,3.0,"Limau Manis Selatan, Pauh, Padang City, West Sumatra 25157, Indonesia",ATtYBwI3oL9Lk5Lb6rQjteyWcaS5l-PCAbsMwG6ckHGOCGvW-8gXfSN04GphAQufpKXdjcqTZkPN1Q-8VBtjWqifFRaaEVpC7KIHJADNkv33EeT4Fy9Bq6tdxfn5RC-nk4JRYSOngbUpKoyCBlegqzS2ZZNbQ5XT664XgVQfK43s2nEBJ_uc
53,Puskesmas Pembantu Pasir Nan Tigo,-0.8591182,100.3338838,4.0,"Batang Kabung Ganting, Koto Tangah, Padang City, West Sumatra 25586, Indonesia",ATtYBwJxmTng0l_R5fEZ3N5zYh8nim89Vbpj9K8EPti6k8yrsT5PSI4IdMCZ4UBBYnktKq5Lw1GEt42n3oYbwW-JBeGOH1muV7La_sCy0zpqn98qyheZVvBKFmovtHSEswRvaAVQENhoIy2UQ0IadjwPxfhl2N9ldCB41JSh-esQotqZ0dG9
54,PUSKESMAS Pembantu Kelurahan Baringin,-0.9619442,100.4442567,0.0,"Rt. 01, RT.01, Beringin, Kec. Lubuk Kilangan, Kota Padang, Sumatera Barat 25157, Indonesia",NULL
55,Puskesmas Andalas,-0.9355924999999999,100.3928776,5.0,"Jl. Dr. Moh. Hatta No.59, Ps. Ambacang, Kec. Kuranji, Kota Padang, Sumatera Barat 25176, Indonesia",NULL
56,Dinas Kesehatan Kab Padang Pariaman,-0.951446,100.356518,1.0,"JL. Prof M Yamin, No. 3, Pariaman, Olo, West Padang, Padang City, West Sumatra, Indonesia",NULL
57,Puskesmas Pembantu Kurao Pagang,-0.8859583,100.3693688,0.0,"Jl. Kurao Pagang, Kurao Pagang, Kec. Nanggalo, Kota Padang, Sumatera Barat 25176, Indonesia",ATtYBwLOXZ9z70NFCDyKEWe-8vL0jMNg8jsT_agcheyuIJTkCk1nuiaEdxu7F71kzlWBIkFiu_4--CtGIzTj3Ya8pxmSjVkpwsBS67pw4wMfS-Q-rvhPippeh4TLhKvNFfW0MPUl-CnS7rH3JsQrV84IHiqsZN4zAtpAkhArVebBCF7v9X1G
58,Puskesmas,-0.9580860000000001,100.42049,0.0,"Jl. Ampera Kecamatan No.Kelurahan, Kp. Baru Nan XX, Kec. Lubuk Begalung, Kota Padang, Sumatera Barat, Indonesia",NULL
59,Puskesmas Ketaping,-0.7652544,100.2864124,3.8,"Jl. Olo Bangau, Katapiang, Kec. Batang Anai, Kabupaten Padang Pariaman, Sumatera Barat 25586, Indonesia",ATtYBwJQi0jInFlaYUNq4yD6zehK6JJEXc6p4qB3v4F7i_EItjmgKOFtYf9aaLxajUPzf2b-Ju1hPCCZ_u6YtCcnqyDk3Hh6RkKlxxazimi-tRL2jwaEjZ7Dck18d-U5Ak4_5ol4Gr-jEWWsi7-_M_LNrY3cj9uoSNKM6K7U7lah7Ix6hTfQ
